category_id,sentences,share_of_assigned,label,domain,top_terms
0,62,0.017391,0,,"friends, thank, sponsors, 10 order, thank friends, order, www, code"
1,94,0.026367,1,,"flag, green, green flag, flag air, air, got flag, flag racing, ready"
2,38,0.010659,2,,"steven, good steven, hass, steven hass, mistake, really good"
3,60,0.01683,3,,"caution, cautions, changes, lead changes, caution came, brought caution, caution comes, caution night"
4,74,0.020757,4,,"lap, lead lap, lap moment, going lap, trying lap, lead, got lap, moment"
5,321,0.090042,5,,"laps, lap, stage, end stage, 100, number, pitted, 125"
6,41,0.011501,6,,"leader, leaders, going leader"
7,44,0.012342,7,,"crashed, crash, wrecking, accidents, wreck, involved, accident, incident"
8,272,0.076297,8,,"pit, tires, pits, fuel, road, pit road, coming pits, strategy"
9,205,0.057504,9,,"car, truck, trucks, driving, ram, number, 80 car, good looking"
10,42,0.011781,10,,"seconds, seconds leader, leader, 10 second, second, 10, half, 15 seconds"
11,53,0.014867,11,,"steve, brent, braden, seagars, seegers, segers, seager, tyler"
12,67,0.018794,12,,"machine, 20 machine, 77 machine, mcdonald, machine right, 20, mcdonald machine, logan"
13,132,0.037027,13,,"13, 14, 12, 22, 20, 20 right, inside 13, 21"
14,397,0.11136,14,,"grab, comes, right, going advantage"
15,103,0.028892,15,,"54, 64, 41, 33, 43, 32, 33 got, 43 got"
16,48,0.013464,16,,"91, 98, 091, 97, 97 right, 91 going, 91 right"
17,53,0.014867,17,,"77, 77 got, 72, got 77, 72 going, got, 77 right, 76"
18,76,0.021318,18,,"second, place, position, fourth, place car, second position, place position, second place"
19,92,0.025806,19,,"position, place, second place, second, fourth, place right, positions, fourth position"
20,42,0.011781,20,,"position, place position, currently, place, sitting, sixth, fifth, points"
21,67,0.018794,21,,"turn, going turn, coming turn, turn number, hazard, stephen hazard, coming, exiting turn"
22,107,0.030014,22,,"happens, folks, happens folks, ll happens, wait, ll, ll wait, continue"
23,205,0.057504,23,,"racing, race, guys racing, guys, racing tonight, end race, racing hard, hard"
24,66,0.018513,24,,"track, confidence, help hit, hit track, ll help, total confidence, track total, going track"
25,79,0.02216,25,,"live, going, little bit, bit, going live, little, right going, right let"
26,114,0.031978,26,,"look, quick look, quick, let, going look, let look, look happened, let quick"
27,195,0.054698,27,,"guys, going thing, follow, happening, fighting, trying happening, thing, going follow"
28,57,0.015989,28,,"corner, turn, coming corner, coming turn, spun, coming, came corner, spinning"
29,87,0.024404,29,,"low, high, line, high line, better run, going drop, going try, try"
30,272,0.076297,30,,"try, going try, inside, trying, going, look inside, wants, happen"
