cluster,size,n_enriched,pct_bigram
0,62,68,0.5147058823529411
1,94,32,0.5625
2,38,6,0.5
3,60,13,0.6153846153846154
4,74,10,0.7
5,321,83,0.4819277108433735
6,41,3,0.3333333333333333
7,44,8,0.0
8,272,61,0.5901639344262295
9,205,38,0.6052631578947368
10,42,16,0.5625
11,53,25,0.28
12,67,15,0.4666666666666667
13,132,8,0.25
14,397,4,0.25
15,103,11,0.2727272727272727
16,48,7,0.42857142857142855
17,53,14,0.5
18,76,8,0.5
19,92,17,0.5294117647058824
20,42,36,0.5
21,67,12,0.4166666666666667
22,107,15,0.4666666666666667
23,205,31,0.6129032258064516
24,66,22,0.5454545454545454
25,79,13,0.6153846153846154
26,114,21,0.6190476190476191
27,195,19,0.47368421052631576
28,57,12,0.25
29,87,14,0.35714285714285715
30,272,14,0.2857142857142857
