category_id,category_label,n_significant_terms,most_significant_terms
0,0,68,"friends, thank, sponsors"
1,1,32,"flag, green, green flag"
2,2,6,"steven, good steven, hass"
3,3,13,"caution, cautions, changes"
4,4,10,"lap, lead lap, lap moment"
5,5,83,"laps, lap, stage"
6,6,3,"leader, leaders, going leader"
7,7,8,"crashed, crash, wrecking"
8,8,61,"pit, tires, pits"
9,9,38,"car, truck, trucks"
10,10,16,"seconds, seconds leader, leader"
11,11,25,"steve, brent, braden"
12,12,15,"machine, 20 machine, 77 machine"
13,13,8,"13, 14, 12"
14,14,4,"grab, comes, right"
15,15,11,"54, 64, 41"
16,16,7,"91, 98, 091"
17,17,14,"77, 77 got, 72"
18,18,8,"second, place, position"
19,19,17,"position, place, second place"
20,20,36,"position, place position, currently"
21,21,12,"turn, going turn, coming turn"
22,22,15,"happens, folks, happens folks"
23,23,31,"racing, race, guys racing"
24,24,22,"track, confidence, help hit"
25,25,13,"live, going, little bit"
26,26,21,"look, quick look, quick"
27,27,19,"guys, going thing, follow"
28,28,12,"corner, turn, coming corner"
29,29,14,"low, high, line"
30,30,14,"try, going try, inside"
