cluster,term,in_cluster,corpus_docfreq,cluster_size,expected,p,is_bigram,q
0,friends,20,31,62,0.322,5.551604439161792e-34,0,1.0586741435043985e-30
0,thank,16,19,62,0.197,2.1418094251578197e-30,0,3.4560017211585016e-27
0,sponsors,13,13,62,0.135,4.311655307675125e-27,0,5.537397316571339e-24
0,10 order,11,11,62,0.114,5.997086439980988e-23,1,6.861757266690975e-20
0,thank friends,11,12,62,0.125,7.140016731791332e-22,1,7.488687548860475e-19
0,order,11,14,62,0.145,2.1319336797349907e-20,0,2.0962904135269214e-17
0,www,10,11,62,0.114,7.497165350073922e-20,0,7.258409468925412e-17
0,code,10,12,62,0.125,4.462599126385396e-19,0,4.1298729856387214e-16
0,com,9,10,62,0.104,7.661225071767429e-18,0,6.515147213058437e-15
0,use,9,17,62,0.177,1.7605137784452023e-14,0,1.0164140557573998e-11
0,promo,7,8,62,0.083,7.32860577217691e-14,0,3.941787702932418e-11
0,promo code,7,8,62,0.083,7.32860577217691e-14,1,3.941787702932418e-11
0,individual,6,6,62,0.062,9.830678314204214e-13,0,4.2665143883646286e-10
0,individual setup,6,6,62,0.062,9.830678314204214e-13,1,4.2665143883646286e-10
0,need individual,6,6,62,0.062,9.830678314204214e-13,1,4.2665143883646286e-10
0,need need,6,6,62,0.062,9.830678314204214e-13,1,4.2665143883646286e-10
0,offer,6,6,62,0.062,9.830678314204214e-13,0,4.2665143883646286e-10
0,offer professional,6,6,62,0.062,9.830678314204214e-13,1,4.2665143883646286e-10
0,order www,6,6,62,0.062,9.830678314204214e-13,1,4.2665143883646286e-10
0,professional,6,6,62,0.062,9.830678314204214e-13,0,4.2665143883646286e-10
0,professional wraps,6,6,62,0.062,9.830678314204214e-13,1,4.2665143883646286e-10
0,purchases,6,6,62,0.062,9.830678314204214e-13,0,4.2665143883646286e-10
0,purchases weekly,6,6,62,0.062,9.830678314204214e-13,1,4.2665143883646286e-10
0,setup purchases,6,6,62,0.062,9.830678314204214e-13,1,4.2665143883646286e-10
0,weekly,6,6,62,0.062,9.830678314204214e-13,0,4.2665143883646286e-10
0,weekly access,6,6,62,0.062,9.830678314204214e-13,1,4.2665143883646286e-10
0,wraps,6,6,62,0.062,9.830678314204214e-13,0,4.2665143883646286e-10
0,wraps graphics,6,6,62,0.062,9.830678314204214e-13,1,4.2665143883646286e-10
0,10,11,56,62,0.582,6.258942839234936e-12,0,2.492881473880092e-09
0,access,6,7,62,0.073,6.826062843536765e-12,0,2.684775842148554e-09
0,graphics,6,7,62,0.073,6.826062843536765e-12,0,2.684775842148554e-09
0,setup,6,8,62,0.083,2.7084393200981745e-11,0,1.0026005083163418e-08
0,need,8,25,62,0.26,8.033243534994203e-11,0,2.747456606832528e-08
0,sponsors friends,5,5,62,0.052,1.0282544580576404e-10,1,3.423706510347477e-08
0,use promo,5,6,62,0.062,6.120373356774821e-10,1,1.8340718825801885e-07
0,code box,4,4,62,0.042,1.0571519540340881e-08,1,2.598694237006452e-06
0,friends home,4,4,62,0.042,1.0571519540340881e-08,1,2.598694237006452e-06
0,home let,4,4,62,0.042,1.0571519540340881e-08,1,2.598694237006452e-06
0,order today,4,4,62,0.042,1.0571519540340881e-08,1,2.598694237006452e-06
0,puffy,4,4,62,0.042,1.0571519540340881e-08,0,2.598694237006452e-06
0,home,6,20,62,0.208,3.4026518634139113e-08,0,7.96018147823931e-06
0,box,5,11,62,0.114,4.5279694939657814e-08,0,1.0295059068064486e-05
0,checkout,4,5,62,0.052,5.2446295918481344e-08,0,1.1703707099822804e-05
0,code checkout,4,5,62,0.052,5.2446295918481344e-08,1,1.1703707099822804e-05
0,save 10,4,5,62,0.052,5.2446295918481344e-08,1,1.1703707099822804e-05
0,today,5,14,62,0.145,1.9156236352994455e-07,0,4.004989879381864e-05
0,partners,4,7,62,0.073,3.614344765058582e-07,0,7.220657652861477e-05
0,checkout 10,3,3,62,0.031,1.0686193650608988e-06,1,0.0001894315961782
0,friends sponsors,3,3,62,0.031,1.0686193650608988e-06,1,0.0001894315961782
0,got sponsors,3,3,62,0.031,1.0686193650608988e-06,1,0.0001894315961782
0,puffy swag,3,3,62,0.031,1.0686193650608988e-06,1,0.0001894315961782
0,swag,3,3,62,0.031,1.0686193650608988e-06,0,0.0001894315961782
0,swag shop,3,3,62,0.031,1.0686193650608988e-06,1,0.0001894315961782
0,tier1setupshop,3,3,62,0.031,1.0686193650608988e-06,0,0.0001894315961782
