cluster,ward_group,louvain_group,handle,size,keywords
0,1,6,K20,62,friends / thank / sponsors / 10 order
1,2,7,K11,94,flag / green / air / ready
2,4,2,K30,38,steven / hass / mistake / really good
3,2,5,K21,60,caution / changes / coming lap / going action
4,2,3,K16,74,lap / lead / moment
5,2,5,K01,321,laps / stage / 100 / number
6,1,4,K29,41,leader
7,2,1,K26,44,crashed / wrecking / accidents / involved
8,2,5,K02,272,pit / tires / fuel / road
9,2,1,K04,205,car / truck / driving / ram
10,3,2,K27,42,seconds / leader / 10 second / half
11,4,2,K23,53,steve / brent / braden / seagars
12,4,1,K17,67,machine / mcdonald / 20 / logan
13,4,1,K07,132,13 / 14 / 12 / 22
14,3,2,K00,397,grab / comes / right / going advantage
15,4,1,K10,103,54 / 64 / 41 / 33
16,4,1,K25,48,91 / 98 / 97
17,4,1,K24,53,77 / 72 / got / 76
18,3,2,K15,76,second / place / position / fourth
19,3,2,K12,92,position / place / second / fourth
20,3,2,K28,42,position / currently / place / sitting
21,4,3,K18,67,turn / hazard / coming / exiting
22,1,4,K09,107,happens / folks / wait / ll
23,2,5,K05,205,racing / race / guys / hard
24,2,5,K19,66,track / confidence / help hit / ll help
25,1,4,K14,79,live / going / little bit / right let
26,1,4,K08,114,look / quick / let / happened
27,1,4,K06,195,guys / going thing / follow / happening
28,4,3,K22,57,corner / turn / spun / coming
29,4,3,K13,87,low / high / line / better run
30,4,3,K03,272,try / inside / going / wants
