min_cluster_size,n_clusters,noise_pct,largest_cluster,selected_setting
10,148,25.82537288419641,216,False
15,103,32.27752639517345,200,False
20,70,31.02061337355455,379,False
25,56,34.13775766716943,363,False
30,46,38.15987933634992,359,False
35,31,40.25473437238143,397,True
40,18,23.49589408412938,2346,False
45,8,13.038377744260096,2297,False
50,8,14.36232612703201,2259,False
55,13,28.50678733031674,1950,False
60,12,29.730182671359135,1942,False
75,2,2.547343723814312,5721,False
90,2,2.547343723814312,5721,False
120,4,23.26127032009385,2094,False
