cluster,has_estimate,n_train_enriched,n_test_strict,n_test_lenient,n_test_direction,rep_strict,rep_lenient,rep_dir,axis3_pass,axis3_score
0,True,65,5,5,5,0.0769230769230769,0.0769230769230769,0.0769230769230769,False,0.0769230769230769
1,True,26,4,9,9,0.1538461538461538,0.3461538461538461,0.3461538461538461,False,0.1538461538461538
2,False,0,0,0,0,,,,False,
3,True,7,1,1,1,0.1428571428571428,0.1428571428571428,0.1428571428571428,False,0.1428571428571428
4,True,10,4,6,7,0.4,0.6,0.7,False,0.4
5,True,70,9,17,19,0.1285714285714285,0.2428571428571428,0.2714285714285714,False,0.1285714285714285
6,True,12,5,8,8,0.4166666666666667,0.6666666666666666,0.6666666666666666,False,0.4166666666666667
7,True,12,4,5,5,0.3333333333333333,0.4166666666666667,0.4166666666666667,False,0.3333333333333333
8,True,31,7,9,9,0.2258064516129032,0.2903225806451613,0.2903225806451613,False,0.2258064516129032
9,True,20,1,3,3,0.05,0.15,0.15,False,0.05
10,True,17,6,8,9,0.3529411764705882,0.4705882352941176,0.5294117647058824,False,0.3529411764705882
11,True,23,1,1,1,0.0434782608695652,0.0434782608695652,0.0434782608695652,False,0.0434782608695652
12,True,17,3,5,6,0.1764705882352941,0.2941176470588235,0.3529411764705882,False,0.1764705882352941
13,True,13,4,5,5,0.3076923076923077,0.3846153846153846,0.3846153846153846,False,0.3076923076923077
14,True,5,0,0,1,0.0,0.0,0.2,False,0.0
15,True,23,8,11,13,0.3478260869565217,0.4782608695652174,0.5652173913043478,False,0.3478260869565217
16,False,0,0,0,0,,,,False,
17,True,20,1,3,3,0.05,0.15,0.15,False,0.05
18,True,9,2,2,4,0.2222222222222222,0.2222222222222222,0.4444444444444444,False,0.2222222222222222
19,True,32,7,15,16,0.21875,0.46875,0.5,False,0.21875
20,True,25,14,14,15,0.56,0.56,0.6,True,0.56
21,False,0,0,0,0,,,,False,
22,False,0,0,0,0,,,,False,
23,True,48,12,16,20,0.25,0.3333333333333333,0.4166666666666667,False,0.25
24,True,16,2,2,3,0.125,0.125,0.1875,False,0.125
25,False,0,0,0,0,,,,False,
26,False,0,0,0,0,,,,False,
27,False,0,0,0,0,,,,False,
28,False,0,0,0,0,,,,False,
29,False,0,0,0,0,,,,False,
30,True,37,12,20,33,0.3243243243243243,0.5405405405405406,0.8918918918918919,False,0.3243243243243243
