cluster,axis1_recovered,axis1_total,axis1_judges_expected,axis1_judges_missing,axis1_complete,axis1_score,axis2_score,axis2_std,axis4_score,axis4_std,axis1_pass,axis2_pass,axis4_pass,axis3_status,n_axes_enabled,n_axes_passed,band,handle,keywords
1,7,7,7,,True,1.0,0.926209951678883,0.1749816605613199,0.8145833333333332,0.1023211515550697,True,True,True,disabled,3,3,3/3 enabled axes,K11,flag / green / air / ready
3,7,7,7,,True,1.0,0.8000276991104939,0.2681938408507389,0.8150000000000001,0.1012285642604014,True,True,True,disabled,3,3,3/3 enabled axes,K21,caution / changes / coming lap / going action
4,5,7,7,,True,0.7142857142857143,0.8336402953399952,0.3214461379015974,0.8017216955432058,0.1185467796902454,True,True,True,disabled,3,3,3/3 enabled axes,K16,lap / lead / moment
13,5,7,7,,True,0.7142857142857143,0.5093762849033683,0.3036390986715077,0.5061044589113642,0.137960845028689,True,True,True,disabled,3,3,3/3 enabled axes,K07,13 / 14 / 12 / 22
14,4,7,7,,True,0.5714285714285714,0.6803407082298986,0.2821344615064761,0.5220016982071936,0.1597944204547495,True,True,True,disabled,3,3,3/3 enabled axes,K00,grab / comes / right / going advantage
19,4,7,7,,True,0.5714285714285714,0.5529799585957964,0.2958032535734102,0.6646717171717171,0.175266577319212,True,True,True,disabled,3,3,3/3 enabled axes,K12,position / place / second / fourth
22,6,7,7,,True,0.8571428571428571,0.6603752296123407,0.3231846177858813,0.6841666666666666,0.170556686568816,True,True,True,disabled,3,3,3/3 enabled axes,K09,happens / folks / wait / ll
23,5,7,7,,True,0.7142857142857143,0.5752052105555349,0.2423660032519099,0.6016197800021329,0.1659158889599626,True,True,True,disabled,3,3,3/3 enabled axes,K05,racing / race / guys / hard
26,6,7,7,,True,0.8571428571428571,0.6740585965234261,0.3233802123925083,0.6720168067226892,0.1535387332180898,True,True,True,disabled,3,3,3/3 enabled axes,K08,look / quick / let / happened
0,6,7,7,,True,0.8571428571428571,0.4456287805873186,0.457290539647355,0.5566666666666666,0.1011599393699567,True,False,True,disabled,3,2,2/3 enabled axes,K20,friends / thank / sponsors / 10 order
2,6,7,7,,True,0.8571428571428571,0.0609514598333875,0.2212739710831964,0.8979147597254006,0.1046140755503733,True,False,True,disabled,3,2,2/3 enabled axes,K30,steven / hass / mistake / really good
5,5,7,7,,True,0.7142857142857143,0.5915414357444703,0.213219507910314,0.3735143712328562,0.1818925431467789,True,True,False,disabled,3,2,2/3 enabled axes,K01,laps / stage / 100 / number
6,5,7,7,,True,0.7142857142857143,0.2736855798375665,0.4005355572399111,0.9283333333333332,0.0604898981465316,True,False,True,disabled,3,2,2/3 enabled axes,K29,leader
7,5,7,7,,True,0.7142857142857143,0.2282160595606052,0.3656044132613693,0.5946637426900585,0.2294297018465626,True,False,True,disabled,3,2,2/3 enabled axes,K26,crashed / wrecking / accidents / involved
8,6,7,7,,True,0.8571428571428571,0.6160466811222366,0.2506409271118257,0.3702788371895923,0.1391109713304474,True,True,False,disabled,3,2,2/3 enabled axes,K02,pit / tires / fuel / road
9,7,7,7,,True,1.0,0.5774402736649216,0.3178131086299316,0.465383120566187,0.1454489382510099,True,True,False,disabled,3,2,2/3 enabled axes,K04,car / truck / driving / ram
10,5,7,7,,True,0.7142857142857143,0.1206177066251504,0.2740482932302795,0.799468954248366,0.1145598434557364,True,False,True,disabled,3,2,2/3 enabled axes,K27,seconds / leader / 10 second / half
11,4,7,7,,True,0.5714285714285714,0.1973419675787797,0.2979397882561591,0.5344961027889418,0.2070881674965956,True,False,True,disabled,3,2,2/3 enabled axes,K23,steve / brent / braden / seagars
17,5,7,7,,True,0.7142857142857143,0.3280118163127036,0.2684396909990174,0.8347549019607843,0.114160436439169,True,False,True,disabled,3,2,2/3 enabled axes,K24,77 / 72 / got / 76
21,3,7,7,,True,0.4285714285714285,0.5837821456351298,0.3746343957951568,0.6527102683178534,0.0767920167853535,False,True,True,disabled,3,2,2/3 enabled axes,K18,turn / hazard / coming / exiting
12,2,7,7,,True,0.2857142857142857,0.4417662371627466,0.3216620456814406,0.6677159244264508,0.1339137296793581,False,False,True,disabled,3,1,1/3 enabled axes,K17,machine / mcdonald / 20 / logan
15,1,7,7,,True,0.1428571428571428,0.3854245926243216,0.2449147657941321,0.5608816183816184,0.1857491681509804,False,False,True,disabled,3,1,1/3 enabled axes,K10,54 / 64 / 41 / 33
16,3,7,7,,True,0.4285714285714285,0.2329207970424625,0.1932398748802748,0.8366389599317989,0.0910557794013794,False,False,True,disabled,3,1,1/3 enabled axes,K25,91 / 98 / 97
20,1,7,7,,True,0.1428571428571428,0.1731161512051775,0.1182582107258461,0.5901536576884874,0.1679065799189973,False,False,True,disabled,3,1,1/3 enabled axes,K28,position / currently / place / sitting
24,2,7,7,,True,0.2857142857142857,0.3636255253791268,0.3102629367549266,0.7501785714285714,0.1533109756141554,False,False,True,disabled,3,1,1/3 enabled axes,K19,track / confidence / help hit / ll help
25,3,7,7,,True,0.4285714285714285,0.4969378695523107,0.2812797940169934,0.6623076923076924,0.1838950065622427,False,False,True,disabled,3,1,1/3 enabled axes,K14,live / going / little bit / right let
28,1,7,7,,True,0.1428571428571428,0.2025099349700637,0.2262323464278232,0.7019956140350877,0.1995023637844583,False,False,True,disabled,3,1,1/3 enabled axes,K22,corner / turn / spun / coming
18,2,7,7,,True,0.2857142857142857,0.483596790936024,0.2905673357891549,0.4308045175273325,0.1159061532618453,False,False,False,disabled,3,0,0/3 enabled axes,K15,second / place / position / fourth
27,1,7,7,,True,0.1428571428571428,0.2921588526700468,0.1449475161085887,0.3801775025235145,0.1325687387087236,False,False,False,disabled,3,0,0/3 enabled axes,K06,guys / going thing / follow / happening
29,3,7,7,,True,0.4285714285714285,0.1881419045563966,0.165781068299448,0.4640837705235238,0.1819307842159304,False,False,False,disabled,3,0,0/3 enabled axes,K13,low / high / line / better run
30,3,7,7,,True,0.4285714285714285,0.3902421390032378,0.1969628284779389,0.4572544953465257,0.1198077209436612,False,False,False,disabled,3,0,0/3 enabled axes,K03,try / inside / going / wants
